run,group_size,groups,n_columns,auc
275,4,"('hours.per.week', 'workclass', 'relationship', 'race')",21,0.8370180450500275
276,4,"('hours.per.week', 'workclass', 'relationship', 'sex')",18,0.8353541952712054
277,4,"('hours.per.week', 'workclass', 'relationship', 'native.country')",58,0.839656627448067
278,4,"('hours.per.week', 'workclass', 'race', 'sex')",17,0.7403815948652617
279,4,"('hours.per.week', 'workclass', 'race', 'native.country')",57,0.722275007818956
280,4,"('hours.per.week', 'workclass', 'sex', 'native.country')",54,0.7366035314624704
281,4,"('hours.per.week', 'education', 'marital.status', 'occupation')",39,0.8783708929844016
282,4,"('hours.per.week', 'education', 'marital.status', 'relationship')",30,0.8697518123468883
283,4,"('hours.per.week', 'education', 'marital.status', 'race')",29,0.8663647827339106
284,4,"('hours.per.week', 'education', 'marital.status', 'sex')",26,0.870261936175306
285,4,"('hours.per.week', 'education', 'marital.status', 'native.country')",66,0.8710855634555291
286,4,"('hours.per.week', 'education', 'occupation', 'relationship')",38,0.880773215650019
287,4,"('hours.per.week', 'education', 'occupation', 'race')",37,0.7906635014798693
288,4,"('hours.per.week', 'education', 'occupation', 'sex')",34,0.8023380226433299
289,4,"('hours.per.week', 'education', 'occupation', 'native.country')",74,0.7903392784914964
290,4,"('hours.per.week', 'education', 'relationship', 'race')",28,0.8691756515873169
291,4,"('hours.per.week', 'education', 'relationship', 'sex')",25,0.8712919861891095
292,4,"('hours.per.week', 'education', 'relationship', 'native.country')",65,0.8721952074614396
293,4,"('hours.per.week', 'education', 'race', 'sex')",24,0.7835962600626067
294,4,"('hours.per.week', 'education', 'race', 'native.country')",64,0.7660922600130791
295,4,"('hours.per.week', 'education', 'sex', 'native.country')",61,0.7866928876849378
296,4,"('hours.per.week', 'marital.status', 'occupation', 'relationship')",29,0.8693287919185472
297,4,"('hours.per.week', 'marital.status', 'occupation', 'race')",28,0.86523063283558
298,4,"('hours.per.week', 'marital.status', 'occupation', 'sex')",25,0.8660668426734318
299,4,"('hours.per.week', 'marital.status', 'occupation', 'native.country')",65,0.8671183604222327
300,4,"('hours.per.week', 'marital.status', 'relationship', 'race')",19,0.8312821758068201
301,4,"('hours.per.week', 'marital.status', 'relationship', 'sex')",16,0.8268984872498277
302,4,"('hours.per.week', 'marital.status', 'relationship', 'native.country')",56,0.8315096650093232
303,4,"('hours.per.week', 'marital.status', 'race', 'sex')",15,0.8272662476073077
304,4,"('hours.per.week', 'marital.status', 'race', 'native.country')",55,0.8269141652886043
305,4,"('hours.per.week', 'marital.status', 'sex', 'native.country')",52,0.8280672320161717
306,4,"('hours.per.week', 'occupation', 'relationship', 'race')",27,0.8665675367490935
307,4,"('hours.per.week', 'occupation', 'relationship', 'sex')",24,0.8691802661471761
308,4,"('hours.per.week', 'occupation', 'relationship', 'native.country')",64,0.8686354614651578
309,4,"('hours.per.week', 'occupation', 'race', 'sex')",23,0.7874084597436116
310,4,"('hours.per.week', 'occupation', 'race', 'native.country')",63,0.7697189601201139
311,4,"('hours.per.week', 'occupation', 'sex', 'native.country')",60,0.7890199156378205
312,4,"('hours.per.week', 'relationship', 'race', 'sex')",14,0.8307772684373735
313,4,"('hours.per.week', 'relationship', 'race', 'native.country')",54,0.8323847403326976
314,4,"('hours.per.week', 'relationship', 'sex', 'native.country')",51,0.8309451982896434
315,4,"('hours.per.week', 'race', 'sex', 'native.country')",50,0.7252705450523206
316,4,"('workclass', 'education', 'marital.status', 'occupation')",47,0.8744585487558918
317,4,"('workclass', 'education', 'marital.status', 'relationship')",38,0.8674779234870434
